power_x,power_y,power_z,power_total_xyz
9.7254861475745e-05,0.00019903572027757,0.000384509360836845,0.00068079994259016
8.94118431463189e-05,0.000109781009968095,0.000200868353552335,0.000400061206666749
3.6235544567058e-05,3.73744016400154e-05,5.85701807840423e-05,0.000132180126991116
2.82615424891432e-05,2.73611929123003e-05,3.25665443142355e-05,8.81892797156791e-05
3.01667345711476e-05,3.50795924620407e-05,8.44612960466028e-05,0.000149707623079791
2.84076668200839e-05,3.46467909481849e-05,6.2234606859681e-05,0.00012528906462795
3.69398412791331e-05,5.60657348652996e-05,2.82892416307662e-05,0.000121294817775199
3.1448373418341e-05,3.89597898892777e-05,6.22173491556818e-05,0.000132625512463301
3.28622525608242e-05,4.05762907061366e-05,5.75499205863234e-05,0.000130988463853284
2.28029955080718e-05,3.07637596078613e-05,6.00652024295284e-05,0.000113631957545461
1.6228679061184e-05,1.69207879397109e-05,2.53084681066804e-05,5.84579351075754e-05
1.45544043062498e-05,2.027364803578e-05,1.68678290517134e-05,5.16958813937431e-05
1.88913886692968e-05,2.80078168501262e-05,2.82098032775089e-05,7.51090087969319e-05
2.2088908398758e-05,2.18384262734006e-05,3.94529271568749e-05,8.33802618290335e-05
8.51598423029412e-05,7.7176871201033e-05,0.000140240808532771,0.000302577522036745
5.01348973100643e-05,8.03079666701089e-05,0.000205462696447714,0.000335905560427887
3.21811965525824e-05,1.48459813200136e-05,2.71312326914564e-05,7.41584105640525e-05
2.7176780619114e-05,1.33991208086024e-05,3.03518759849781e-05,7.09277774126945e-05
3.25869988216296e-05,5.21669023805432e-05,4.89862518407503e-05,0.000133740153042923
3.91435198871501e-05,3.3501693787873e-05,5.39249454058267e-05,0.00012657015908085
3.2484785702604e-05,1.82461012106151e-05,3.7889490601121e-05,8.86203775143401e-05
3.10236835536343e-05,1.78187870719986e-05,3.95111960832611e-05,8.8353666708894e-05
3.58056658847696e-05,3.49225498397274e-05,6.21399250852167e-05,0.000132868140809714
2.991267628609e-05,1.1128713385871e-05,3.05873737912735e-05,7.16287634632345e-05
3.43626410051311e-05,1.67150792415216e-05,5.5999334509597e-05,0.00010707705475625
4.5669961091194e-05,4.45289826465828e-05,6.27692206387848e-05,0.000152968164376562
3.76999337692522e-05,3.41230336860465e-05,4.0873259375656e-05,0.000112696226830955
3.15448779166348e-05,4.0302226944183e-05,4.70329054336137e-05,0.000118880010294431
1.16444906386074e-05,4.78014202048927e-06,1.30561519338509e-05,2.94807845929476e-05
3.44764642476668e-05,4.5471271840539e-05,6.27825725126885e-05,0.000142730308600894
