ResultsCorrections
0.000446798062950661
2.01397943779399e-05
1.85734406714906e-05
1.99443339304275e-05
1.77506141303407e-05
2.47440557253548e-05
1.9712734965847e-05
2.35083944875439e-05
1.8621574189132e-05
1.70906092315365e-05
1.74014842196993e-05
1.80185021265619e-05
1.77052512428812e-05
2.82933669201014e-05
2.72290205291827e-05
1.79078334135419e-05
1.57234130099048e-05
1.42912182527745e-05
1.57242281643012e-05
1.42039187750523e-05
1.33931193786778e-05
1.31168613456946e-05
1.50804822789169e-05
1.33103575845308e-05
1.30981610374203e-05
1.37973427554398e-05
1.42528977193178e-05
1.42181431397177e-05
1.31532357023222e-05
1.70370196333022e-05
